Year,Local Government Area,Postcode,Suburb,Location Division,Property Item,Number of Items,Value of Items
2025,Yarra,3067,Abbotsford,Residential,Car Accessories,5,$100
2025,Yarra,3067,Abbotsford,Residential,Cash/Document,33,"$3,205"
2025,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,3,"$3,230"
2025,Yarra,3067,Abbotsford,Residential,Clothing,22,"$5,495"
2025,Yarra,3067,Abbotsford,Residential,Electrical Appliances,16,"$4,315"
2025,Yarra,3067,Abbotsford,Residential,Firearms/Ammunition,1,$0
2025,Yarra,3067,Abbotsford,Residential,Food,3,$400
2025,Yarra,3067,Abbotsford,Residential,Furniture,2,"$1,615"
2025,Yarra,3067,Abbotsford,Residential,Garden Items,2,$15
2025,Yarra,3067,Abbotsford,Residential,Household Items,4,$745
2025,Yarra,3067,Abbotsford,Residential,Jewellery,6,"$8,300"
2025,Yarra,3067,Abbotsford,Residential,Other,65,"$24,679"
2025,Yarra,3067,Abbotsford,Residential,Personal Property,47,"$5,752"
2025,Yarra,3067,Abbotsford,Residential,Photographic Equip,1,$225
2025,Yarra,3067,Abbotsford,Residential,Power Tools,10,"$30,388"
2025,Yarra,3067,Abbotsford,Residential,Sporting Goods,21,"$15,071"
2025,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,4,$500
2025,Yarra,3067,Abbotsford,Residential,Tools,7,"$6,445"
2025,Yarra,3067,Abbotsford,Residential,Tv/Vcr,1,$800
2024,Yarra,3067,Abbotsford,Residential,Car Accessories,9,"$1,300"
2024,Yarra,3067,Abbotsford,Residential,Cash/Document,38,"$901,675"
2024,Yarra,3067,Abbotsford,Residential,Clothing,15,"$10,554"
2024,Yarra,3067,Abbotsford,Residential,Domestic Pets,1,$150
2024,Yarra,3067,Abbotsford,Residential,Electrical Appliances,25,"$20,043"
2024,Yarra,3067,Abbotsford,Residential,Food,1,$126
2024,Yarra,3067,Abbotsford,Residential,Furniture,2,"$2,000"
2024,Yarra,3067,Abbotsford,Residential,Garden Items,2,$540
2024,Yarra,3067,Abbotsford,Residential,Household Items,8,"$1,566"
2024,Yarra,3067,Abbotsford,Residential,Jewellery,10,"$11,750"
2024,Yarra,3067,Abbotsford,Residential,Other,62,"$53,443"
2024,Yarra,3067,Abbotsford,Residential,Personal Property,39,"$34,202"
2024,Yarra,3067,Abbotsford,Residential,Photographic Equip,6,$800
2024,Yarra,3067,Abbotsford,Residential,Police Property,1,$0
2024,Yarra,3067,Abbotsford,Residential,Power Tools,17,"$13,208"
2024,Yarra,3067,Abbotsford,Residential,Sporting Goods,10,"$7,645"
2024,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,1,$0
2024,Yarra,3067,Abbotsford,Residential,Tools,18,"$4,755"
2023,Yarra,3067,Abbotsford,Residential,Car Accessories,8,$159
2023,Yarra,3067,Abbotsford,Residential,Cash/Document,37,"$27,825"
2023,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,2,$20
2023,Yarra,3067,Abbotsford,Residential,Clothing,16,"$41,819"
2023,Yarra,3067,Abbotsford,Residential,Electrical Appliances,27,"$12,621"
2023,Yarra,3067,Abbotsford,Residential,Food,2,$230
2023,Yarra,3067,Abbotsford,Residential,Household Items,5,"$14,950"
2023,Yarra,3067,Abbotsford,Residential,Jewellery,15,"$21,555"
